mmsi,freq_mean_mhz,freq_min_mhz,freq_max_mhz,freq_std_mhz,bandwidth_mean_khz,power_mean_watts,signal_strength_mean_dbm,snr_mean_db,noise_level_mean_dbm,num_signatures,cluster
214748253,159.3829,156.12,161.85,1.9762,28.64,195.69,-64.8,30.56,-91.63,7,1
216417532,159.9767,159.25,161.05,0.9488,28.43,361.43,-96.03,32.37,-77.03,3,3
218251125,158.2625,156.82,161.79,2.3673,31.95,362.42,-46.55,33.1,-109.38,4,0
220627024,159.1275,157.81,161.81,1.8156,35.5,401.92,-96.02,32.17,-84.45,4,0
221046878,157.74,156.13,160.76,1.9812,23.42,320.12,-66.83,31.57,-100.72,6,4
221716335,161.2933,160.05,161.99,1.0794,30.57,266.4,-70.47,30.43,-82.17,3,3
222054856,157.3567,156.25,160.27,1.4945,38.1,232.27,-62.32,39.1,-97.67,6,0
222807422,159.565,159.14,159.99,0.601,30.15,277.1,-73.8,22.55,-78.0,2,3
224255892,158.9625,156.13,161.38,2.2098,33.78,339.95,-71.62,13.88,-109.25,4,0
224383026,159.1871,158.39,160.77,0.9264,30.06,229.6,-61.87,20.0,-88.57,7,2
224472298,159.4543,156.5,161.61,2.0592,31.76,331.8,-61.41,21.81,-102.39,7,3
224497350,158.438,157.02,160.89,1.5856,25.64,210.48,-72.68,23.74,-88.82,5,4
224756004,160.464,158.81,161.97,1.4036,32.22,138.92,-67.58,13.9,-86.46,5,1
225377906,160.05,160.05,160.05,,15.8,487.1,-111.2,1.8,-115.2,1,3
225857489,160.58,159.23,161.93,1.9092,19.15,351.65,-35.3,33.25,-84.35,2,3
226103089,159.525,156.73,161.38,2.0455,27.95,158.37,-71.22,18.27,-85.05,6,1
226542358,158.262,156.12,160.51,1.7608,20.1,378.1,-105.18,25.66,-94.16,5,3
226809877,159.4975,157.97,160.72,1.1969,28.3,178.05,-47.68,15.28,-83.52,4,1
227501683,157.864,156.58,160.28,1.7153,28.46,328.92,-80.86,32.14,-89.78,5,0
229631895,160.9325,159.45,161.91,1.0566,26.48,166.6,-50.78,28.72,-107.42,4,1
229818721,158.3,156.53,161.94,2.1801,33.98,285.42,-63.26,25.1,-96.02,5,0
230810621,157.8162,156.21,159.6,1.3176,27.59,261.5,-67.7,29.48,-86.39,8,4
231663168,156.38,156.38,156.38,,44.4,114.1,-117.8,10.3,-108.2,1,0
231960753,160.15,157.28,161.92,2.508,32.73,217.63,-53.9,31.97,-98.5,3,2
232381331,159.955,158.68,161.23,1.8031,27.05,359.1,-78.7,25.1,-79.65,2,3
232898606,159.6191,156.67,161.73,1.6317,29.45,216.72,-60.14,31.38,-97.95,11,1
232986245,158.3933,157.36,159.45,1.0452,28.8,175.77,-78.73,20.47,-87.5,3,4
233953583,159.2725,158.42,160.29,0.9034,28.5,168.2,-66.92,24.98,-100.85,4,1
234821769,157.9133,156.71,159.93,1.1227,28.07,204.58,-58.57,25.53,-93.27,6,4
236109802,159.5562,156.35,161.98,2.3985,26.32,260.34,-66.88,15.0,-97.04,8,3
236409764,159.69,157.97,161.8,1.9446,23.97,326.83,-34.93,42.63,-87.37,3,3
236576735,159.3238,156.68,161.62,1.812,32.5,274.52,-88.6,18.61,-86.95,8,2
236700807,160.1925,156.61,161.87,2.4145,23.75,96.52,-60.48,23.55,-102.35,4,1
236799075,159.3114,156.5,161.3,1.6446,30.07,266.7,-73.07,28.84,-88.54,7,3
237361564,159.6488,156.41,161.72,1.6247,35.11,327.86,-64.66,25.69,-82.46,8,2
238178908,158.4067,157.02,159.96,1.4771,32.37,137.9,-65.43,8.53,-88.0,3,4
239547546,158.7817,156.56,161.15,1.7722,23.88,136.97,-67.18,16.48,-93.65,6,1
239574544,158.29,157.03,159.99,1.2156,26.44,224.98,-68.7,17.5,-94.34,5,4
240011469,159.0367,156.17,161.5,2.5107,38.73,236.07,-71.72,29.05,-87.55,6,2
242221601,159.29,158.82,159.76,0.6647,33.7,179.9,-65.05,22.65,-92.65,2,2
242442486,157.2425,156.09,160.04,1.8826,23.08,294.75,-55.45,29.5,-89.72,4,4
242569188,158.6653,156.09,161.75,1.8733,29.06,237.91,-59.08,27.81,-90.61,15,4
243740029,158.542,157.78,160.21,1.0558,31.6,243.94,-60.56,26.28,-95.24,5,4
244246514,159.4,157.27,161.53,3.0123,29.7,366.6,-57.55,40.5,-93.0,2,3
245445168,158.41,157.76,158.9,0.4288,37.74,295.76,-98.4,29.5,-90.94,5,0
245472810,159.356,157.61,161.97,1.9806,27.78,319.92,-70.42,18.7,-92.84,5,3
245760948,159.225,157.93,160.52,1.8314,28.3,191.1,-100.25,29.35,-98.5,2,1
245808653,161.05,161.05,161.05,,30.0,221.7,-86.1,16.6,-114.8,1,1
246056778,158.2475,156.44,161.56,1.6099,33.45,225.27,-59.13,30.5,-85.62,12,4
247443252,159.555,156.42,161.78,1.68,35.09,246.94,-69.61,28.36,-83.11,10,2
247512338,159.054,156.53,160.69,1.5923,29.84,218.4,-66.8,21.14,-83.34,5,1
248068308,157.79,157.54,158.04,0.3536,24.65,104.15,-68.05,21.7,-78.5,2,4
248607497,159.152,156.81,161.35,1.9223,38.7,236.06,-57.96,22.62,-94.82,5,2
249217423,159.6133,157.98,160.71,1.442,25.73,434.2,-80.47,18.87,-104.07,3,3
249354554,158.298,156.64,161.31,1.8503,30.76,412.84,-79.84,19.12,-84.46,5,0
249938716,159.25,157.21,160.85,1.703,25.2,305.0,-59.18,15.65,-99.35,4,3
249974230,158.5433,157.51,160.18,1.4336,17.47,191.8,-46.63,34.73,-94.27,3,4
250320883,159.25,157.63,161.84,1.5505,27.65,252.28,-64.62,17.52,-77.68,6,3
251261537,160.21,160.03,160.39,0.2546,13.0,349.4,-79.4,24.85,-87.35,2,3
251603728,157.8075,156.42,160.25,1.6876,39.1,208.68,-71.03,4.97,-98.38,4,0
252620067,159.7922,157.59,161.97,1.4427,21.87,375.02,-63.87,27.17,-98.86,9,3
252789184,158.555,157.33,159.78,1.7324,26.05,375.2,-87.4,32.55,-77.35,2,3
253462026,159.165,156.25,160.67,2.065,24.48,248.18,-95.6,27.0,-93.35,4,3
254059131,158.5175,157.34,160.18,1.2238,37.05,144.12,-83.49,31.41,-95.19,8,2
254445689,159.064,157.51,161.11,1.4008,30.0,323.98,-45.8,21.88,-95.2,5,3
254528621,157.98,157.17,158.95,0.7031,28.68,237.37,-60.77,33.55,-89.03,6,4
255660986,158.94,158.94,158.94,,35.3,138.2,-77.8,20.5,-79.3,1,2
256138286,158.7533,156.99,160.07,1.5878,38.77,245.43,-46.77,28.2,-106.57,3,2
256362827,159.035,158.67,159.4,0.5162,40.4,403.3,-67.0,23.8,-85.95,2,0
258157843,159.235,159.1,159.37,0.1909,17.6,253.05,-63.9,36.25,-96.15,2,3
258846593,158.5338,156.08,161.64,2.0682,26.29,240.88,-54.58,26.46,-93.55,8,4
258954341,160.02,158.66,161.77,1.5913,26.9,257.73,-90.77,12.1,-76.2,3,3
259203883,158.659,156.98,161.22,1.4784,31.02,292.11,-66.11,26.11,-96.1,10,0
260273820,159.8717,157.07,161.97,2.0249,31.37,260.72,-73.72,34.82,-86.63,6,2
260362728,159.3533,156.92,162.0,2.5467,34.67,233.33,-67.0,13.73,-74.17,3,2
260490181,158.7467,156.27,160.28,1.4756,35.52,152.23,-72.83,25.17,-96.98,6,2
260690058,158.8567,156.42,161.18,2.1548,25.47,150.9,-69.7,20.98,-89.52,6,1
260756426,158.85,158.11,159.69,0.5534,29.35,166.5,-59.08,30.77,-86.52,6,1
260984664,159.0733,158.14,159.63,0.8133,18.53,230.63,-32.67,28.77,-89.93,3,4
263371036,158.7625,156.89,160.2,1.3841,27.58,63.45,-64.32,24.52,-96.58,4,1
264651594,158.8157,156.18,161.3,1.7394,28.96,149.19,-57.26,18.76,-86.34,7,1
266304575,158.898,156.03,161.54,2.3982,21.9,227.98,-81.66,15.64,-89.06,5,4
266578761,160.2125,157.51,161.89,1.9844,31.22,333.3,-49.28,21.42,-86.65,4,3
267514528,158.44,156.74,159.57,1.4986,22.43,333.7,-89.9,16.23,-77.4,3,3
269833961,158.5,157.48,159.89,1.0597,37.33,293.8,-37.1,38.8,-81.42,4,0
270127453,159.0378,156.07,161.78,2.2428,25.2,211.28,-71.26,27.81,-93.1,9,4
270308779,158.3129,156.09,161.19,1.9009,28.9,312.51,-88.94,20.21,-90.97,7,0
270851441,157.54,156.16,159.44,1.7007,33.8,290.07,-58.43,17.4,-80.73,3,0
271063396,158.4167,156.27,161.97,1.9462,36.6,360.78,-57.03,22.37,-77.98,6,0
272130864,161.1433,160.53,161.46,0.5313,38.93,320.97,-57.3,31.5,-82.6,3,2
272132718,160.0729,157.07,161.71,1.6321,27.16,152.04,-57.21,19.73,-76.64,7,1
272481430,159.13,156.36,160.93,1.9662,31.76,99.36,-71.06,24.64,-77.56,5,1
272653360,158.556,156.63,161.94,2.1615,25.0,187.28,-70.22,23.6,-83.18,5,4
272658165,159.9267,157.8,161.77,1.7412,28.92,307.67,-88.33,25.87,-86.08,6,3
272713588,158.718,156.66,160.82,1.4788,25.72,301.4,-87.56,27.3,-86.48,5,3
273148379,159.445,157.99,161.1,1.5478,34.45,227.15,-42.0,30.45,-87.1,4,2
273564660,157.5733,157.06,157.96,0.4632,32.9,124.9,-64.87,34.87,-94.4,3,4
273664882,158.645,156.23,161.06,1.9631,32.0,222.72,-52.35,22.97,-93.62,6,2
274434905,158.428,156.77,160.0,1.4305,25.98,246.26,-92.28,23.82,-76.62,5,4
274778707,159.2525,156.95,160.75,1.6482,29.65,182.15,-66.78,22.0,-82.05,4,1
274897537,159.5733,156.75,161.95,2.5568,27.5,217.58,-82.4,18.98,-86.85,6,1
275200104,159.225,158.37,160.08,1.2092,25.95,216.1,-64.8,12.05,-62.85,2,1
275369472,159.2314,156.4,161.05,1.8746,36.01,220.77,-72.27,24.81,-91.04,7,2
275509216,158.5725,156.86,160.43,1.7357,38.7,299.42,-88.75,24.3,-91.9,4,0
275630215,158.269,156.23,160.6,1.7527,28.1,262.39,-75.75,27.48,-90.45,10,4
277439544,159.6386,157.06,161.87,1.7325,30.96,352.6,-89.94,28.14,-85.83,7,3
278144112,159.614,156.17,161.53,2.3464,32.4,220.8,-76.4,32.98,-87.36,5,2
279762531,159.7475,158.64,160.89,0.943,28.4,117.02,-75.75,23.28,-102.28,4,1
279944509,158.493,156.05,161.14,1.9534,27.38,241.48,-72.61,32.05,-86.55,10,4
280901691,157.315,156.9,157.73,0.5869,18.7,210.55,-49.65,34.5,-91.25,2,4
281753993,158.975,156.68,161.88,2.3329,27.1,276.0,-90.28,24.33,-84.3,6,3
282716427,160.1125,158.38,160.93,1.188,37.38,285.12,-58.05,16.85,-93.95,4,2
283205861,159.2433,157.36,160.48,1.6575,40.9,197.43,-54.73,32.1,-71.6,3,2
283486500,158.1917,156.55,161.77,2.0043,28.32,167.05,-58.15,24.17,-100.9,6,4
284896056,158.1425,157.79,158.45,0.2988,30.32,320.77,-69.85,31.15,-92.72,4,0
285312502,159.0189,157.02,161.66,1.498,34.66,291.18,-82.58,19.21,-78.82,9,2
285869970,159.3017,156.93,161.94,2.1221,31.12,215.23,-43.52,40.1,-94.7,6,2
286026287,159.0971,156.46,161.64,1.8207,25.43,257.67,-76.6,20.13,-97.13,7,3
286089776,157.9317,156.56,159.73,1.4231,28.88,224.85,-74.85,22.97,-93.0,6,4
286169281,160.1178,156.09,161.9,2.1288,27.02,153.7,-70.66,35.26,-91.71,9,1
287106487,159.4267,156.06,161.52,2.3116,30.72,192.75,-61.02,14.6,-101.12,6,1
287767589,159.1483,156.16,161.68,2.2537,28.85,225.98,-81.12,21.23,-91.97,6,1
287792665,159.5571,158.25,161.08,1.2232,40.37,238.74,-70.57,24.29,-91.29,7,2
288065994,159.275,157.8,160.65,1.4835,27.52,289.88,-67.92,25.58,-78.8,4,3
288338344,159.47,157.6,160.8,1.4325,24.78,229.72,-37.7,26.45,-91.75,4,1
288344510,158.495,156.58,161.7,1.8075,26.17,234.14,-77.14,30.47,-88.14,10,4
288730213,158.2243,157.1,160.81,1.3228,35.76,218.19,-82.09,24.37,-87.03,7,2
288924361,159.086,157.39,161.62,1.9088,36.62,262.78,-75.66,22.7,-96.82,5,2
289401636,159.744,156.87,161.93,1.5956,36.57,266.68,-76.98,25.58,-91.79,10,2
289775372,160.3486,158.71,161.84,1.0526,31.97,230.36,-78.31,21.5,-84.39,7,2
289890030,158.85,156.82,161.72,1.6753,27.77,261.22,-76.68,22.22,-89.65,6,4
290000334,158.87,157.35,160.96,1.6738,28.58,312.98,-72.53,33.22,-88.3,6,3
290782162,159.68,156.64,161.52,2.0286,32.68,288.38,-58.88,27.48,-91.42,6,2
291644254,160.0033,157.95,161.73,1.9111,20.7,297.23,-87.87,32.53,-88.53,3,3
292189198,159.745,157.51,160.98,1.1537,30.24,217.71,-80.8,24.11,-86.64,8,1
293447967,159.51,158.04,161.09,1.528,34.87,282.83,-84.03,14.33,-102.03,3,2
294304036,159.8,157.82,161.14,1.4089,32.6,112.0,-65.8,16.68,-85.2,4,1
295701710,158.6567,156.66,160.73,2.0361,22.93,330.23,-65.1,37.8,-76.3,3,3
295965871,159.37,156.83,161.95,2.0904,32.48,142.2,-65.92,19.2,-98.93,4,1
296114362,159.8267,158.59,161.89,1.7986,24.63,291.0,-86.27,27.0,-100.37,3,3
297489083,159.142,157.06,161.11,1.9295,22.6,326.3,-70.76,38.0,-92.88,5,3
298360481,158.7686,156.01,160.73,2.1128,32.9,140.4,-72.31,26.29,-99.23,7,1
299479186,159.456,158.33,161.27,1.3821,26.72,246.58,-83.06,30.74,-92.26,5,3
299685327,157.305,156.23,158.68,1.1184,26.15,261.82,-60.65,28.42,-99.5,4,4
300905246,159.44,158.45,160.45,1.0001,30.03,274.77,-92.3,32.07,-111.47,3,3
301027718,158.2425,157.19,159.49,1.035,26.88,250.4,-56.0,28.4,-96.65,4,4
302489810,159.382,156.34,161.59,2.257,27.84,282.52,-70.82,26.34,-97.34,5,3
303568824,159.5533,157.27,161.57,2.1624,28.07,289.27,-54.23,34.73,-107.7,3,3
303641269,157.37,157.37,157.37,,44.6,396.5,-74.9,45.2,-77.3,1,0
303830441,159.77,156.84,161.99,2.6474,33.07,256.5,-76.0,26.53,-100.8,3,2
305441760,157.748,156.86,159.45,1.0635,29.24,139.2,-95.56,25.86,-92.7,5,4
305790946,158.51,156.36,159.99,1.345,27.2,223.46,-60.68,18.72,-99.82,5,4
305792048,158.6367,156.29,161.36,2.5559,32.07,70.33,-68.0,20.83,-75.2,3,1
306585349,159.285,156.79,161.72,2.7335,27.72,237.5,-65.82,18.38,-97.18,4,1
306994240,159.8214,157.55,161.58,1.5876,28.17,328.33,-82.77,30.1,-101.2,7,3
307516995,160.82,159.66,161.98,1.6405,32.8,343.7,-66.1,28.65,-94.4,2,3
307986418,158.185,156.02,161.85,2.1209,24.12,269.6,-76.23,20.85,-91.33,6,4
308695892,159.01,156.54,160.82,1.8448,36.46,217.14,-78.28,22.42,-90.98,5,2
309163379,158.7843,156.98,160.81,1.6802,27.76,215.9,-78.13,28.03,-97.06,7,4
310055463,159.2375,156.65,161.71,2.4299,31.6,300.85,-83.0,9.88,-79.8,4,3
310273206,158.15,156.06,160.17,1.5994,29.48,237.96,-77.1,22.44,-97.66,5,4
311470002,157.43,156.02,158.2,1.2228,35.23,306.5,-62.23,44.17,-88.57,3,0
312462705,158.9,156.3,161.63,1.928,34.67,297.01,-89.94,33.26,-97.71,8,0
312878650,159.3887,156.1,161.69,2.1463,33.19,274.23,-60.12,28.31,-89.21,8,2
313328800,159.8189,157.01,161.97,1.81,33.38,282.87,-68.53,24.88,-89.28,9,2
313389958,157.846,156.02,160.27,1.809,31.8,192.78,-90.2,14.96,-73.0,5,4
314355800,160.66,160.66,160.66,,34.8,232.4,-58.1,4.1,-82.4,1,2
314390060,158.694,156.51,160.5,1.6766,28.58,228.42,-64.22,17.26,-82.02,5,4
315074468,157.96,157.55,158.75,0.6843,27.83,447.63,-66.27,35.07,-82.03,3,0
315113308,157.305,156.38,158.77,1.0421,21.18,161.2,-70.85,22.82,-86.48,4,4
315605444,159.5667,157.72,160.43,1.0062,27.53,168.55,-51.87,24.93,-81.33,6,1
315782943,160.0425,158.91,161.61,1.2273,21.18,189.48,-64.38,22.8,-108.22,4,1
316234277,158.1467,156.23,160.6,1.6663,27.93,282.48,-68.95,17.18,-96.65,6,4
316474826,158.3467,157.32,160.25,1.65,21.57,240.9,-60.13,28.83,-98.43,3,4
318125935,159.066,157.24,160.99,1.2626,34.59,276.41,-66.89,28.55,-100.98,10,2
318975900,158.992,156.19,160.5,1.7033,27.2,264.54,-52.1,16.96,-93.54,5,3
319469731,159.8478,156.56,161.25,1.7151,33.03,257.9,-65.12,23.82,-91.03,9,2
320624243,159.99,157.03,161.07,1.9745,36.28,313.65,-39.38,36.75,-89.92,4,2
320892082,158.5757,156.09,161.26,2.2011,28.7,265.17,-50.97,30.69,-88.74,7,4
321571144,158.675,156.84,161.71,2.1486,35.67,241.58,-72.28,28.15,-91.95,4,2
321784058,159.9775,157.65,161.73,1.8555,33.55,310.4,-51.4,29.98,-96.42,4,2
324742591,159.515,157.96,161.23,1.3449,26.72,232.4,-58.45,27.33,-86.08,4,1
324958822,159.9,157.28,161.67,1.6028,38.62,322.14,-57.88,26.64,-89.58,8,2
327690307,159.3157,156.1,161.88,2.5101,25.83,209.57,-98.53,22.41,-92.86,7,1
328293597,159.1586,156.23,161.22,1.6572,34.21,296.31,-67.89,26.06,-88.64,7,2
329004558,158.98,156.09,161.87,4.0871,25.4,174.0,-80.1,8.5,-105.65,2,1
330948908,159.62,156.98,161.13,1.2236,30.79,245.71,-64.54,23.94,-97.38,8,2
332649240,157.2125,156.27,158.52,0.9594,32.48,100.6,-74.85,27.35,-89.45,4,4
332786654,158.5083,156.75,161.02,1.5645,30.85,254.17,-86.78,19.5,-74.98,6,4
333279592,158.8842,156.02,161.56,1.8913,25.41,194.7,-55.71,26.08,-97.08,12,4
333886054,159.6029,157.35,161.87,2.1847,34.39,268.54,-90.33,27.27,-81.47,7,2
334709857,160.2867,159.03,161.49,1.2309,30.17,195.63,-64.2,26.0,-93.1,3,1
335267736,159.6233,158.36,161.49,1.6499,27.63,143.1,-82.6,33.57,-87.07,3,1
335821955,159.3543,156.08,161.27,1.8092,26.6,271.44,-66.73,24.07,-104.16,7,3
336052886,158.2638,156.15,160.94,1.5218,28.38,241.82,-72.21,26.03,-93.4,16,4
336627928,158.3333,156.78,161.36,2.6215,25.93,339.63,-102.07,28.53,-72.03,3,3
337866372,159.54,157.44,160.54,1.3414,24.24,226.46,-56.08,20.94,-79.1,5,1
338445994,157.39,156.24,158.54,1.6263,31.35,389.95,-56.6,24.5,-96.5,2,0
339096327,159.4067,158.01,161.97,2.2229,34.2,187.43,-57.5,27.2,-88.17,3,2
339126012,157.876,156.44,160.63,1.6167,25.0,168.58,-65.8,25.3,-83.72,5,4
339171260,158.9867,156.72,161.24,1.665,35.25,203.83,-56.42,24.27,-101.42,6,2
340668048,159.6133,158.88,160.54,0.8467,26.6,290.6,-64.33,30.4,-78.6,3,3
340714037,158.124,156.11,161.93,2.2577,28.14,339.26,-73.86,35.8,-102.4,5,0
341249881,159.72,156.19,161.72,2.1892,38.46,213.84,-83.68,30.24,-84.1,5,2
342385591,158.492,156.76,161.14,2.108,28.44,327.22,-75.58,25.02,-83.24,5,0
342429088,159.086,156.16,160.31,1.7426,40.34,213.32,-75.32,20.04,-95.5,5,2
342815822,159.07,157.27,161.33,1.5682,16.66,220.62,-72.14,23.58,-95.54,5,4
343126146,161.34,160.78,161.9,0.792,38.65,218.15,-91.5,13.95,-80.1,2,2
344513763,159.1925,156.13,161.53,2.1659,28.31,290.99,-86.44,23.86,-93.42,8,3
345832541,159.308,156.19,160.43,1.756,24.28,324.46,-76.66,25.76,-89.5,5,3
345917757,159.1057,157.35,160.62,1.3466,32.17,291.41,-61.41,30.97,-81.91,7,2
346077672,158.6067,156.1,160.36,1.9274,27.13,182.08,-68.43,16.37,-86.18,6,4
347221944,161.44,161.44,161.44,,44.3,317.7,-108.4,19.9,-103.3,1,2
347759038,157.92,156.46,160.21,1.2589,34.31,323.66,-65.81,31.99,-90.33,7,0
348500992,159.532,157.15,161.8,1.8664,32.6,248.14,-86.2,21.86,-88.0,5,2
350038017,158.392,156.06,161.63,2.4846,27.16,239.52,-86.96,33.04,-105.32,5,4
350251451,159.3643,157.22,161.92,1.9064,31.77,271.36,-68.64,18.17,-96.2,7,2
350521742,159.06,156.84,161.23,1.757,24.83,285.97,-73.48,32.43,-89.42,6,3
350657692,158.9256,156.3,161.08,1.8444,23.83,275.01,-69.17,29.44,-97.89,9,3
352571434,160.2433,158.29,161.72,1.764,29.13,204.9,-76.13,12.63,-82.93,3,1
352963430,158.674,156.44,161.22,1.9599,30.12,233.56,-84.4,35.52,-96.08,5,4
353691130,157.76,156.39,160.12,2.0526,33.27,140.23,-85.93,20.13,-71.57,3,4
353821583,158.3925,156.13,161.67,2.1542,17.41,211.69,-67.61,24.36,-88.41,8,4
354615733,159.08,157.8,160.72,1.2118,29.75,153.38,-50.08,27.5,-89.92,4,1
354873118,160.85,159.89,161.81,1.3576,29.1,341.15,-84.55,17.3,-82.5,2,3
355835421,158.862,156.03,161.75,2.0865,28.65,229.72,-61.46,23.44,-86.57,10,4
355968100,160.3567,158.65,161.61,1.5312,25.27,283.93,-59.5,29.77,-91.67,3,3
356152670,158.875,156.52,161.94,2.1563,23.86,255.61,-75.5,28.98,-91.75,8,4
356273956,158.9625,157.79,161.36,1.6464,37.05,237.25,-86.78,20.0,-94.25,4,2
357067982,159.65,158.05,161.25,2.2627,34.6,155.9,-102.3,15.25,-109.35,2,2
358348599,158.93,156.71,161.15,3.1396,21.65,237.75,-88.0,34.65,-109.65,2,4
359390541,158.6,156.26,161.28,2.5272,24.97,168.77,-93.0,20.37,-75.1,3,4
359830573,158.279,156.45,161.4,1.5054,25.58,259.5,-70.03,29.75,-93.56,10,4
360247230,157.3883,156.03,159.3,1.3161,26.25,268.15,-71.35,18.43,-107.37,6,4
360342720,158.1167,156.33,160.53,1.8776,23.86,207.21,-85.83,18.94,-94.49,9,4
360555312,158.42,156.93,160.91,1.6353,35.8,186.72,-78.42,23.62,-105.56,5,2
360833773,160.24,156.23,161.84,2.0422,31.78,201.42,-76.57,24.59,-96.01,9,1
361510820,159.2457,156.68,161.19,1.9035,35.63,274.19,-70.56,9.53,-87.81,7,2
361903938,159.92,158.96,161.64,1.1816,20.62,169.52,-90.6,22.2,-98.12,4,1
362601507,158.0933,156.08,161.2,2.0125,24.92,188.63,-51.4,32.1,-103.05,6,4
364856950,156.14,156.14,156.14,,27.7,481.6,-81.9,18.2,-64.3,1,0
367500008,159.535,158.6,160.65,0.8771,27.18,268.42,-69.58,21.72,-85.7,4,3
368365433,159.33,157.99,160.2,1.1776,18.07,132.93,-75.5,31.27,-86.47,3,1
369075346,158.4375,156.8,161.25,2.0516,23.7,279.05,-80.08,17.6,-77.12,4,4
369325711,158.565,156.09,161.28,1.9448,29.36,301.49,-68.9,16.45,-83.11,8,0
370219145,160.7586,159.04,161.95,0.9889,28.41,278.0,-66.87,24.81,-99.96,7,3
371121059,156.07,156.07,156.07,,43.4,491.8,-27.5,19.8,-67.1,1,0
372051562,158.5175,156.84,160.5,1.8627,28.42,138.93,-76.92,33.8,-88.9,4,4
372177283,158.5675,157.59,159.45,0.7851,23.82,331.25,-56.95,20.95,-86.2,4,3
372271550,156.43,156.43,156.43,,42.5,311.6,-65.0,35.3,-78.1,1,0
372353705,158.965,158.16,160.37,0.9671,23.62,309.12,-104.98,27.3,-76.12,4,3
372700428,159.1114,156.37,161.65,2.0007,31.9,161.19,-77.59,19.77,-81.63,7,1
373306649,159.0114,156.29,161.17,1.9858,32.86,269.93,-62.49,31.67,-92.46,7,2
374237721,160.19,157.32,161.86,1.7666,25.58,156.88,-74.24,18.58,-99.46,5,1
374389765,157.7483,156.54,159.25,1.149,31.7,204.58,-75.1,26.63,-87.07,6,4
375047621,158.385,156.61,161.4,1.5338,21.8,316.92,-76.15,27.5,-91.19,8,4
375096037,158.7,156.48,161.33,1.9362,39.32,207.63,-62.27,27.48,-84.25,6,2
375252389,158.065,156.11,161.23,2.4119,35.3,253.35,-79.65,23.2,-95.3,4,0
375856282,161.2,161.2,161.2,,27.6,111.4,-89.7,4.5,-119.1,1,1
377068202,159.1943,157.1,161.36,1.5937,28.57,291.61,-64.73,32.24,-93.97,7,3
377712245,159.0029,156.39,161.3,1.7694,32.04,199.86,-76.89,23.19,-88.37,7,2
377899981,159.2425,156.3,161.12,2.0665,34.85,280.9,-62.2,31.58,-87.48,4,2
377992909,159.155,157.75,160.56,1.987,30.55,190.25,-34.95,32.7,-72.25,2,1
378249098,161.32,161.32,161.32,,34.8,320.6,-30.5,47.9,-108.1,1,2
378367378,159.3,156.02,161.43,2.2892,24.78,176.38,-63.08,30.84,-85.06,5,1
