mmsi,freq_mean_mhz,bandwidth_mean_khz,power_mean_watts,signal_strength_mean_dbm,snr_mean_db,noise_level_mean_dbm,is_suspicious,gross_tonnage,type,flag,pavillon_suppose
224497350,158.438,25.64,210.48,-72.68,23.74,-88.82,True,280648.2,Tanker,Denmark,Autre
224756004,160.464,32.22,138.92,-67.58,13.9,-86.46,True,212583.7,Fishing Vessel,France,Autre
225377906,160.05,15.8,487.1,-111.2,1.8,-115.2,True,184097.6,Container Ship,Singapore,Autre
225857489,160.58,19.15,351.65,-35.3,33.25,-84.35,True,200805.3,General Cargo,China,Autre
226103089,159.525,27.95,158.37,-71.22,18.27,-85.05,False,84431.5,Passenger Ship,Panama,France
226542358,158.262,20.1,378.1,-105.18,25.66,-94.16,False,46907.2,Bulk Carrier,USA,France
226809877,159.4975,28.3,178.05,-47.68,15.28,-83.52,False,8491.1,Fishing Vessel,Denmark,France
227501683,157.864,28.46,328.92,-80.86,32.14,-89.78,True,170323.0,Tanker,Panama,France
229631895,160.9325,26.48,166.6,-50.78,28.72,-107.42,False,262692.9,Tanker,France,Malta
229818721,158.3,33.98,285.42,-63.26,25.1,-96.02,False,147671.4,Tanker,Panama,Malta
230810621,157.8162,27.59,261.5,-67.7,29.48,-86.39,False,128350.7,Tanker,Malta,Autre
231663168,156.38,44.4,114.1,-117.8,10.3,-108.2,False,190889.7,Bulk Carrier,Marshall Islands,Autre
231960753,160.15,32.73,217.63,-53.9,31.97,-98.5,False,244093.0,General Cargo,Marshall Islands,Autre
232381331,159.955,27.05,359.1,-78.7,25.1,-79.65,True,144270.7,Passenger Ship,USA,Autre
232898606,159.6191,29.45,216.72,-60.14,31.38,-97.95,False,90672.5,General Cargo,France,Autre
232986245,158.3933,28.8,175.77,-78.73,20.47,-87.5,False,96735.5,General Cargo,France,Autre
233953583,159.2725,28.5,168.2,-66.92,24.98,-100.85,False,203904.5,Bulk Carrier,Singapore,Autre
234821769,157.9133,28.07,204.58,-58.57,25.53,-93.27,False,13622.5,Container Ship,Marshall Islands,Autre
236109802,159.5562,26.32,260.34,-66.88,15.0,-97.04,True,77872.8,Bulk Carrier,Liberia,Autre
236409764,159.69,23.97,326.83,-34.93,42.63,-87.37,True,10174.8,Container Ship,Marshall Islands,Autre
236576735,159.3238,32.5,274.52,-88.6,18.61,-86.95,False,81131.0,Fishing Vessel,Denmark,Autre
236700807,160.1925,23.75,96.52,-60.48,23.55,-102.35,False,24390.3,Tanker,Singapore,Autre
236799075,159.3114,30.07,266.7,-73.07,28.84,-88.54,False,164275.5,Fishing Vessel,Liberia,Autre
237361564,159.6488,35.11,327.86,-64.66,25.69,-82.46,True,88554.7,Passenger Ship,Malta,Autre
238178908,158.4067,32.37,137.9,-65.43,8.53,-88.0,False,76832.9,Bulk Carrier,Marshall Islands,Autre
239547546,158.7817,23.88,136.97,-67.18,16.48,-93.65,True,93347.0,General Cargo,Liberia,Autre
239574544,158.29,26.44,224.98,-68.7,17.5,-94.34,False,244338.9,Passenger Ship,China,Autre
240011469,159.0367,38.73,236.07,-71.72,29.05,-87.55,True,19159.8,Passenger Ship,Liberia,Autre
242221601,159.29,33.7,179.9,-65.05,22.65,-92.65,False,252702.8,Fishing Vessel,Denmark,Autre
242442486,157.2425,23.08,294.75,-55.45,29.5,-89.72,True,203957.2,Container Ship,France,Autre
242569188,158.6653,29.06,237.91,-59.08,27.81,-90.61,False,29540.1,Container Ship,Liberia,Autre
243740029,158.542,31.6,243.94,-60.56,26.28,-95.24,True,248842.4,Fishing Vessel,USA,Autre
244246514,159.4,29.7,366.6,-57.55,40.5,-93.0,False,160292.4,Tanker,Bahamas,Autre
245445168,158.41,37.74,295.76,-98.4,29.5,-90.94,True,30958.8,Tanker,France,Autre
245472810,159.356,27.78,319.92,-70.42,18.7,-92.84,False,106265.7,Bulk Carrier,Panama,Autre
245760948,159.225,28.3,191.1,-100.25,29.35,-98.5,True,48857.7,Container Ship,China,Autre
245808653,161.05,30.0,221.7,-86.1,16.6,-114.8,False,108273.0,Tanker,Malta,Autre
246056778,158.2475,33.45,225.27,-59.13,30.5,-85.62,True,120544.3,Fishing Vessel,France,Autre
247443252,159.555,35.09,246.94,-69.61,28.36,-83.11,True,299563.9,Tanker,Malta,Autre
247512338,159.054,29.84,218.4,-66.8,21.14,-83.34,False,135051.3,Passenger Ship,Panama,Autre
248068308,157.79,24.65,104.15,-68.05,21.7,-78.5,False,82341.0,Passenger Ship,Marshall Islands,Malta
248607497,159.152,38.7,236.06,-57.96,22.62,-94.82,False,262986.6,Bulk Carrier,France,Malta
249217423,159.6133,25.73,434.2,-80.47,18.87,-104.07,True,126676.6,Fishing Vessel,Denmark,Malta
249354554,158.298,30.76,412.84,-79.84,19.12,-84.46,False,249761.1,Bulk Carrier,France,Malta
249938716,159.25,25.2,305.0,-59.18,15.65,-99.35,False,264648.4,Container Ship,Panama,Malta
249974230,158.5433,17.47,191.8,-46.63,34.73,-94.27,True,274344.8,Container Ship,Panama,Malta
250320883,159.25,27.65,252.28,-64.62,17.52,-77.68,True,98631.5,General Cargo,Marshall Islands,Autre
251261537,160.21,13.0,349.4,-79.4,24.85,-87.35,True,241400.9,Passenger Ship,Malta,Autre
251603728,157.8075,39.1,208.68,-71.03,4.97,-98.38,False,117470.1,Fishing Vessel,China,Autre
252620067,159.7922,21.87,375.02,-63.87,27.17,-98.86,False,193971.8,Passenger Ship,Malta,Autre
252789184,158.555,26.05,375.2,-87.4,32.55,-77.35,False,219028.0,Fishing Vessel,USA,Autre
253462026,159.165,24.48,248.18,-95.6,27.0,-93.35,False,217211.1,Container Ship,China,Autre
254059131,158.5175,37.05,144.12,-83.49,31.41,-95.19,False,217419.3,Fishing Vessel,China,Autre
254445689,159.064,30.0,323.98,-45.8,21.88,-95.2,True,26170.0,General Cargo,Denmark,Autre
254528621,157.98,28.68,237.37,-60.77,33.55,-89.03,True,97802.6,Passenger Ship,USA,Autre
255660986,158.94,35.3,138.2,-77.8,20.5,-79.3,True,273380.1,General Cargo,Singapore,Autre
256138286,158.7533,38.77,245.43,-46.77,28.2,-106.57,True,74208.5,Tanker,Bahamas,Malta
256362827,159.035,40.4,403.3,-67.0,23.8,-85.95,False,15741.6,Bulk Carrier,USA,Malta
258157843,159.235,17.6,253.05,-63.9,36.25,-96.15,False,58575.1,Passenger Ship,Liberia,Autre
258846593,158.5338,26.29,240.88,-54.58,26.46,-93.55,False,143224.2,Tanker,China,Autre
258954341,160.02,26.9,257.73,-90.77,12.1,-76.2,False,191682.8,Bulk Carrier,France,Autre
259203883,158.659,31.02,292.11,-66.11,26.11,-96.1,True,78242.7,Passenger Ship,Malta,Autre
260273820,159.8717,31.37,260.72,-73.72,34.82,-86.63,False,69467.3,Bulk Carrier,Bahamas,Autre
260362728,159.3533,34.67,233.33,-67.0,13.73,-74.17,False,228075.0,Container Ship,Panama,Autre
260490181,158.7467,35.52,152.23,-72.83,25.17,-96.98,False,295935.2,Fishing Vessel,Panama,Autre
260690058,158.8567,25.47,150.9,-69.7,20.98,-89.52,False,28845.3,Passenger Ship,France,Autre
260756426,158.85,29.35,166.5,-59.08,30.77,-86.52,False,123695.1,Container Ship,Singapore,Autre
260984664,159.0733,18.53,230.63,-32.67,28.77,-89.93,False,48702.3,Fishing Vessel,Panama,Autre
263371036,158.7625,27.58,63.45,-64.32,24.52,-96.58,True,12214.8,Fishing Vessel,Bahamas,Autre
264651594,158.8157,28.96,149.19,-57.26,18.76,-86.34,False,231456.7,Container Ship,Malta,Autre
266304575,158.898,21.9,227.98,-81.66,15.64,-89.06,True,272707.1,General Cargo,Panama,Autre
266578761,160.2125,31.22,333.3,-49.28,21.42,-86.65,True,230916.6,Fishing Vessel,France,Autre
267514528,158.44,22.43,333.7,-89.9,16.23,-77.4,True,270442.7,General Cargo,Marshall Islands,Autre
269833961,158.5,37.33,293.8,-37.1,38.8,-81.42,False,272681.0,General Cargo,France,Autre
270127453,159.0378,25.2,211.28,-71.26,27.81,-93.1,False,92982.9,General Cargo,China,Autre
270308779,158.3129,28.9,312.51,-88.94,20.21,-90.97,False,214212.8,General Cargo,China,Autre
270851441,157.54,33.8,290.07,-58.43,17.4,-80.73,False,85046.0,General Cargo,Marshall Islands,Autre
271063396,158.4167,36.6,360.78,-57.03,22.37,-77.98,True,85418.2,Bulk Carrier,Singapore,Autre
272130864,161.1433,38.93,320.97,-57.3,31.5,-82.6,True,100746.2,Tanker,Singapore,Autre
272132718,160.0729,27.16,152.04,-57.21,19.73,-76.64,True,288653.7,General Cargo,Liberia,Autre
272481430,159.13,31.76,99.36,-71.06,24.64,-77.56,True,140362.5,Fishing Vessel,Marshall Islands,Autre
272653360,158.556,25.0,187.28,-70.22,23.6,-83.18,True,99293.2,Tanker,Marshall Islands,Autre
272658165,159.9267,28.92,307.67,-88.33,25.87,-86.08,False,254178.0,Container Ship,China,Autre
272713588,158.718,25.72,301.4,-87.56,27.3,-86.48,False,10908.8,Fishing Vessel,Singapore,Autre
273148379,159.445,34.45,227.15,-42.0,30.45,-87.1,True,61498.9,Passenger Ship,Panama,Autre
273564660,157.5733,32.9,124.9,-64.87,34.87,-94.4,True,259746.3,Bulk Carrier,France,Autre
273664882,158.645,32.0,222.72,-52.35,22.97,-93.62,False,156851.0,Bulk Carrier,Bahamas,Autre
274434905,158.428,25.98,246.26,-92.28,23.82,-76.62,True,281564.3,Tanker,Liberia,Autre
274778707,159.2525,29.65,182.15,-66.78,22.0,-82.05,True,12076.5,Fishing Vessel,Malta,Autre
274897537,159.5733,27.5,217.58,-82.4,18.98,-86.85,True,83380.8,Fishing Vessel,Malta,Autre
275200104,159.225,25.95,216.1,-64.8,12.05,-62.85,False,80067.5,Container Ship,Bahamas,Autre
275369472,159.2314,36.01,220.77,-72.27,24.81,-91.04,True,221222.0,Tanker,China,Autre
275509216,158.5725,38.7,299.42,-88.75,24.3,-91.9,True,240240.9,Container Ship,Marshall Islands,Autre
275630215,158.269,28.1,262.39,-75.75,27.48,-90.45,True,140658.0,Fishing Vessel,Panama,Autre
277439544,159.6386,30.96,352.6,-89.94,28.14,-85.83,True,289681.1,Bulk Carrier,Singapore,Autre
278144112,159.614,32.4,220.8,-76.4,32.98,-87.36,True,284748.7,Passenger Ship,Liberia,Autre
279762531,159.7475,28.4,117.02,-75.75,23.28,-102.28,True,60262.8,Bulk Carrier,Bahamas,Autre
279944509,158.493,27.38,241.48,-72.61,32.05,-86.55,True,283396.4,Tanker,France,Autre
280901691,157.315,18.7,210.55,-49.65,34.5,-91.25,False,126849.0,Passenger Ship,France,Autre
281753993,158.975,27.1,276.0,-90.28,24.33,-84.3,False,97806.7,Container Ship,Marshall Islands,Autre
282716427,160.1125,37.38,285.12,-58.05,16.85,-93.95,True,167289.8,Container Ship,Panama,Autre
283205861,159.2433,40.9,197.43,-54.73,32.1,-71.6,False,68405.1,Fishing Vessel,Denmark,Autre
283486500,158.1917,28.32,167.05,-58.15,24.17,-100.9,False,265368.5,Fishing Vessel,Panama,Autre
284896056,158.1425,30.32,320.77,-69.85,31.15,-92.72,True,120077.7,General Cargo,Liberia,Autre
285312502,159.0189,34.66,291.18,-82.58,19.21,-78.82,False,240967.0,Container Ship,Liberia,Autre
285869970,159.3017,31.12,215.23,-43.52,40.1,-94.7,True,158933.8,General Cargo,Panama,Autre
286026287,159.0971,25.43,257.67,-76.6,20.13,-97.13,False,215161.3,Container Ship,Marshall Islands,Autre
286089776,157.9317,28.88,224.85,-74.85,22.97,-93.0,True,30106.9,Bulk Carrier,Singapore,Autre
286169281,160.1178,27.02,153.7,-70.66,35.26,-91.71,True,271245.1,Bulk Carrier,Marshall Islands,Autre
287106487,159.4267,30.72,192.75,-61.02,14.6,-101.12,True,50488.2,Container Ship,Singapore,Autre
287767589,159.1483,28.85,225.98,-81.12,21.23,-91.97,True,153806.5,Bulk Carrier,Malta,Autre
287792665,159.5571,40.37,238.74,-70.57,24.29,-91.29,False,117676.9,Tanker,Malta,Autre
288065994,159.275,27.52,289.88,-67.92,25.58,-78.8,False,243801.7,General Cargo,Malta,Autre
288338344,159.47,24.78,229.72,-37.7,26.45,-91.75,True,116680.6,Bulk Carrier,Panama,Autre
288344510,158.495,26.17,234.14,-77.14,30.47,-88.14,False,27135.9,Tanker,Malta,Autre
288730213,158.2243,35.76,218.19,-82.09,24.37,-87.03,False,257711.8,General Cargo,Liberia,Autre
288924361,159.086,36.62,262.78,-75.66,22.7,-96.82,False,44746.7,Fishing Vessel,Bahamas,Autre
289401636,159.744,36.57,266.68,-76.98,25.58,-91.79,True,206408.1,Tanker,Bahamas,Autre
289775372,160.3486,31.97,230.36,-78.31,21.5,-84.39,False,12803.9,General Cargo,Denmark,Autre
289890030,158.85,27.77,261.22,-76.68,22.22,-89.65,True,75115.1,Container Ship,Singapore,Autre
290000334,158.87,28.58,312.98,-72.53,33.22,-88.3,False,76777.3,Passenger Ship,France,Autre
290782162,159.68,32.68,288.38,-58.88,27.48,-91.42,False,91745.3,General Cargo,Panama,Autre
291644254,160.0033,20.7,297.23,-87.87,32.53,-88.53,True,231457.6,Container Ship,Malta,Autre
292189198,159.745,30.24,217.71,-80.8,24.11,-86.64,True,163478.9,Container Ship,China,Autre
293447967,159.51,34.87,282.83,-84.03,14.33,-102.03,False,58667.0,Bulk Carrier,Bahamas,Autre
294304036,159.8,32.6,112.0,-65.8,16.68,-85.2,False,80690.8,Fishing Vessel,Liberia,Autre
295701710,158.6567,22.93,330.23,-65.1,37.8,-76.3,True,17445.8,Fishing Vessel,Marshall Islands,Autre
295965871,159.37,32.48,142.2,-65.92,19.2,-98.93,False,242686.8,Bulk Carrier,China,Autre
296114362,159.8267,24.63,291.0,-86.27,27.0,-100.37,False,62702.8,Container Ship,Singapore,Autre
297489083,159.142,22.6,326.3,-70.76,38.0,-92.88,False,189927.7,Passenger Ship,Malta,Autre
298360481,158.7686,32.9,140.4,-72.31,26.29,-99.23,False,147295.5,Tanker,France,Autre
299479186,159.456,26.72,246.58,-83.06,30.74,-92.26,False,2824.2,Tanker,Denmark,Autre
299685327,157.305,26.15,261.82,-60.65,28.42,-99.5,True,247888.1,Passenger Ship,China,Autre
300905246,159.44,30.03,274.77,-92.3,32.07,-111.47,False,76646.0,Bulk Carrier,China,Autre
301027718,158.2425,26.88,250.4,-56.0,28.4,-96.65,False,263606.9,Fishing Vessel,Malta,Autre
302489810,159.382,27.84,282.52,-70.82,26.34,-97.34,False,229783.7,Bulk Carrier,Panama,Autre
303568824,159.5533,28.07,289.27,-54.23,34.73,-107.7,False,129742.4,Container Ship,USA,Autre
303641269,157.37,44.6,396.5,-74.9,45.2,-77.3,True,45119.2,Passenger Ship,Marshall Islands,Autre
303830441,159.77,33.07,256.5,-76.0,26.53,-100.8,False,150989.5,Bulk Carrier,Bahamas,Autre
305441760,157.748,29.24,139.2,-95.56,25.86,-92.7,False,17476.4,Fishing Vessel,China,Autre
305790946,158.51,27.2,223.46,-60.68,18.72,-99.82,True,29041.6,Container Ship,USA,Autre
305792048,158.6367,32.07,70.33,-68.0,20.83,-75.2,True,146418.9,General Cargo,China,Autre
306585349,159.285,27.72,237.5,-65.82,18.38,-97.18,False,99656.9,Passenger Ship,Denmark,Autre
306994240,159.8214,28.17,328.33,-82.77,30.1,-101.2,True,156731.4,Fishing Vessel,Singapore,Autre
307516995,160.82,32.8,343.7,-66.1,28.65,-94.4,False,182951.0,Tanker,France,Autre
307986418,158.185,24.12,269.6,-76.23,20.85,-91.33,False,139959.9,Passenger Ship,China,Autre
308695892,159.01,36.46,217.14,-78.28,22.42,-90.98,False,52455.6,Container Ship,China,Bahamas
309163379,158.7843,27.76,215.9,-78.13,28.03,-97.06,True,149742.6,Tanker,Denmark,Bahamas
310055463,159.2375,31.6,300.85,-83.0,9.88,-79.8,False,154612.6,Bulk Carrier,Panama,Autre
310273206,158.15,29.48,237.96,-77.1,22.44,-97.66,True,163902.0,Passenger Ship,Marshall Islands,Autre
311470002,157.43,35.23,306.5,-62.23,44.17,-88.57,True,291340.9,General Cargo,Panama,Bahamas
312462705,158.9,34.67,297.01,-89.94,33.26,-97.71,False,4538.8,Passenger Ship,Denmark,Autre
312878650,159.3887,33.19,274.23,-60.12,28.31,-89.21,True,227375.6,Container Ship,USA,Autre
313328800,159.8189,33.38,282.87,-68.53,24.88,-89.28,True,240643.9,Tanker,Panama,Autre
313389958,157.846,31.8,192.78,-90.2,14.96,-73.0,True,53154.0,Container Ship,France,Autre
314355800,160.66,34.8,232.4,-58.1,4.1,-82.4,True,133817.5,Tanker,Bahamas,Autre
314390060,158.694,28.58,228.42,-64.22,17.26,-82.02,True,251349.3,Passenger Ship,Singapore,Autre
315074468,157.96,27.83,447.63,-66.27,35.07,-82.03,True,176056.1,Passenger Ship,USA,Autre
315113308,157.305,21.18,161.2,-70.85,22.82,-86.48,False,51450.2,Bulk Carrier,Liberia,Autre
315605444,159.5667,27.53,168.55,-51.87,24.93,-81.33,True,61993.3,Tanker,Marshall Islands,Autre
315782943,160.0425,21.18,189.48,-64.38,22.8,-108.22,True,134918.0,Tanker,Panama,Autre
316234277,158.1467,27.93,282.48,-68.95,17.18,-96.65,True,19089.8,Tanker,Singapore,Autre
316474826,158.3467,21.57,240.9,-60.13,28.83,-98.43,False,39960.1,Passenger Ship,Marshall Islands,Autre
318125935,159.066,34.59,276.41,-66.89,28.55,-100.98,False,288157.9,Tanker,Malta,Autre
318975900,158.992,27.2,264.54,-52.1,16.96,-93.54,False,130245.7,Container Ship,USA,Autre
319469731,159.8478,33.03,257.9,-65.12,23.82,-91.03,False,172826.9,Fishing Vessel,Panama,Autre
320624243,159.99,36.28,313.65,-39.38,36.75,-89.92,True,284394.6,Passenger Ship,Marshall Islands,Autre
320892082,158.5757,28.7,265.17,-50.97,30.69,-88.74,True,79101.5,Container Ship,Liberia,Autre
321571144,158.675,35.67,241.58,-72.28,28.15,-91.95,False,89579.0,Tanker,Bahamas,Autre
321784058,159.9775,33.55,310.4,-51.4,29.98,-96.42,False,264210.0,Fishing Vessel,China,Autre
324742591,159.515,26.72,232.4,-58.45,27.33,-86.08,True,109669.3,Fishing Vessel,Bahamas,Autre
324958822,159.9,38.62,322.14,-57.88,26.64,-89.58,True,217558.8,Container Ship,Denmark,Autre
327690307,159.3157,25.83,209.57,-98.53,22.41,-92.86,True,75340.9,Container Ship,Singapore,Autre
328293597,159.1586,34.21,296.31,-67.89,26.06,-88.64,False,83041.4,Bulk Carrier,France,Autre
329004558,158.98,25.4,174.0,-80.1,8.5,-105.65,False,264739.6,Tanker,Marshall Islands,Autre
330948908,159.62,30.79,245.71,-64.54,23.94,-97.38,True,259366.6,Container Ship,Bahamas,Autre
332649240,157.2125,32.48,100.6,-74.85,27.35,-89.45,True,49478.5,Bulk Carrier,Singapore,Autre
332786654,158.5083,30.85,254.17,-86.78,19.5,-74.98,True,13590.9,Fishing Vessel,Liberia,Autre
333279592,158.8842,25.41,194.7,-55.71,26.08,-97.08,False,264865.5,General Cargo,Bahamas,Autre
333886054,159.6029,34.39,268.54,-90.33,27.27,-81.47,True,208049.8,Fishing Vessel,Bahamas,Autre
334709857,160.2867,30.17,195.63,-64.2,26.0,-93.1,True,224060.6,General Cargo,USA,Autre
335267736,159.6233,27.63,143.1,-82.6,33.57,-87.07,True,8566.4,Passenger Ship,Panama,Autre
335821955,159.3543,26.6,271.44,-66.73,24.07,-104.16,False,101413.0,General Cargo,Malta,Autre
336052886,158.2638,28.38,241.82,-72.21,26.03,-93.4,False,148075.7,Fishing Vessel,Malta,Autre
336627928,158.3333,25.93,339.63,-102.07,28.53,-72.03,True,279192.1,General Cargo,Malta,Autre
337866372,159.54,24.24,226.46,-56.08,20.94,-79.1,True,30943.3,Passenger Ship,Bahamas,Autre
338445994,157.39,31.35,389.95,-56.6,24.5,-96.5,True,123453.3,General Cargo,Singapore,USA
339096327,159.4067,34.2,187.43,-57.5,27.2,-88.17,False,130045.1,Container Ship,France,Autre
339126012,157.876,25.0,168.58,-65.8,25.3,-83.72,True,221919.5,Bulk Carrier,Singapore,Autre
339171260,158.9867,35.25,203.83,-56.42,24.27,-101.42,False,86538.9,General Cargo,Malta,Autre
340668048,159.6133,26.6,290.6,-64.33,30.4,-78.6,True,54357.8,Container Ship,Denmark,Autre
340714037,158.124,28.14,339.26,-73.86,35.8,-102.4,False,28495.7,Container Ship,USA,Autre
341249881,159.72,38.46,213.84,-83.68,30.24,-84.1,False,10224.7,General Cargo,Denmark,Autre
342385591,158.492,28.44,327.22,-75.58,25.02,-83.24,True,203735.7,Passenger Ship,Malta,Autre
342429088,159.086,40.34,213.32,-75.32,20.04,-95.5,False,22384.7,Bulk Carrier,Liberia,Autre
342815822,159.07,16.66,220.62,-72.14,23.58,-95.54,True,247817.6,Bulk Carrier,France,Autre
343126146,161.34,38.65,218.15,-91.5,13.95,-80.1,False,127675.3,General Cargo,USA,Autre
344513763,159.1925,28.31,290.99,-86.44,23.86,-93.42,False,276638.3,Tanker,Panama,Autre
345832541,159.308,24.28,324.46,-76.66,25.76,-89.5,False,9679.2,Container Ship,Marshall Islands,Autre
345917757,159.1057,32.17,291.41,-61.41,30.97,-81.91,True,112767.8,Passenger Ship,Bahamas,Autre
346077672,158.6067,27.13,182.08,-68.43,16.37,-86.18,False,36786.3,Tanker,France,Autre
347221944,161.44,44.3,317.7,-108.4,19.9,-103.3,True,1294.4,Fishing Vessel,France,Autre
347759038,157.92,34.31,323.66,-65.81,31.99,-90.33,True,23332.0,General Cargo,Liberia,Autre
348500992,159.532,32.6,248.14,-86.2,21.86,-88.0,False,181390.9,Fishing Vessel,Liberia,Autre
350038017,158.392,27.16,239.52,-86.96,33.04,-105.32,True,75315.0,General Cargo,Panama,Autre
350251451,159.3643,31.77,271.36,-68.64,18.17,-96.2,True,54447.1,Tanker,Denmark,Autre
350521742,159.06,24.83,285.97,-73.48,32.43,-89.42,False,16862.5,Tanker,Marshall Islands,Autre
350657692,158.9256,23.83,275.01,-69.17,29.44,-97.89,True,177568.2,Fishing Vessel,Denmark,Autre
352571434,160.2433,29.13,204.9,-76.13,12.63,-82.93,False,183526.5,Fishing Vessel,Panama,Panama
352963430,158.674,30.12,233.56,-84.4,35.52,-96.08,True,77588.6,Tanker,Panama,Panama
353691130,157.76,33.27,140.23,-85.93,20.13,-71.57,False,184356.5,Passenger Ship,China,Panama
353821583,158.3925,17.41,211.69,-67.61,24.36,-88.41,True,52554.3,General Cargo,Bahamas,Panama
354615733,159.08,29.75,153.38,-50.08,27.5,-89.92,False,177673.8,Fishing Vessel,Marshall Islands,Panama
354873118,160.85,29.1,341.15,-84.55,17.3,-82.5,False,260868.3,Fishing Vessel,Liberia,Panama
355835421,158.862,28.65,229.72,-61.46,23.44,-86.57,False,94868.7,Container Ship,China,Panama
355968100,160.3567,25.27,283.93,-59.5,29.77,-91.67,True,213955.8,Passenger Ship,Liberia,Panama
356152670,158.875,23.86,255.61,-75.5,28.98,-91.75,True,144422.5,General Cargo,Liberia,Panama
356273956,158.9625,37.05,237.25,-86.78,20.0,-94.25,True,65180.4,Container Ship,Malta,Panama
357067982,159.65,34.6,155.9,-102.3,15.25,-109.35,False,123376.5,General Cargo,Malta,Panama
358348599,158.93,21.65,237.75,-88.0,34.65,-109.65,True,214528.2,Bulk Carrier,France,Autre
359390541,158.6,24.97,168.77,-93.0,20.37,-75.1,True,82733.7,Container Ship,USA,Autre
359830573,158.279,25.58,259.5,-70.03,29.75,-93.56,False,141103.3,General Cargo,Marshall Islands,Autre
